household_id,year,month,bill_amount,estimated_kwh,total_duration_hours,total_power_watt,active_device_count
1,2024,1,750171.53,916.908,7.88,3752.76,16
1,2024,2,782097.67,642.086,8.5,2604.06,12
1,2024,3,975312.05,746.708,7.51,3208.63,13
1,2024,4,793492.99,274.582,6.88,1329.93,11
1,2024,5,721073.56,331.045,5.48,1948.1,9
1,2024,6,711666.08,432.099,4.36,3301.64,15
1,2024,7,876926.4,723.429,8.21,2841.28,14
1,2024,8,659658.56,200.113,6.29,1026.78,7
1,2024,9,656623.86,445.983,7.69,1933.5,16
1,2024,10,806869.05,799.553,8.63,2987.49,13
1,2024,11,584707.65,124.906,4.4,946.4,9
1,2024,12,794089.73,785.98,7.94,3194.77,16
1,2025,1,628751.81,161.12,3.8,1367.12,13
1,2025,2,760018.18,595.235,8.35,2544.39,14
1,2025,3,559929.98,80.574,3.22,808.27,6
1,2025,4,645797.65,578.675,8.97,2149.49,14
1,2025,5,764134.2,597.29,7.63,2524.09,19
1,2025,6,666499.25,314.946,5.84,1796.19,9
1,2025,7,546355.55,240.283,8.06,962.09,10
1,2025,8,428656.2,107.262,4.07,850.94,5
1,2025,9,340806.97,208.997,7.41,939.91,7
1,2025,10,378870.54,336.024,9.73,1113.65,11
1,2025,11,623077.9,774.157,8.45,3053.42,12
1,2025,12,499824.5,132.261,3.67,1161.03,9
2,2024,1,417191.58,411.473,4.24,3132.41,17
2,2024,2,517858.15,366.034,6.02,2095.03,10
2,2024,3,422159.54,104.661,5.91,571.2,6
2,2024,4,380762.91,268.381,4.01,2230.0,16
2,2024,5,786849.28,972.189,7.07,4437.39,18
2,2024,6,612485.02,171.496,9.71,588.73,7
2,2024,7,490986.98,200.599,6.43,1005.59,6
2,2024,8,380784.39,149.631,4.87,991.37,6
2,2024,9,470463.94,420.03,8.78,1593.91,19
2,2024,10,431454.87,251.389,3.76,2156.72,12
2,2024,11,477766.17,418.073,3.75,3712.06,17
2,2024,12,443142.74,314.659,6.88,1474.48,17
2,2025,1,528591.74,493.143,9.67,1645.02,12
2,2025,2,633972.69,606.964,9.55,2269.33,18
2,2025,3,859608.45,740.952,9.24,2586.28,10
2,2025,4,874232.65,574.964,6.63,2889.84,12
2,2025,5,672833.17,167.137,3.66,1472.58,10
2,2025,6,755102.95,559.325,4.69,3978.02,16
2,2025,7,815170.26,500.865,7.2,2245.37,20
2,2025,8,670948.08,248.876,8.44,951.01,7
2,2025,9,512522.35,136.86,4.61,990.1,12
2,2025,10,376206.32,144.752,6.54,713.51,7
2,2025,11,582053.23,647.893,8.01,2696.91,12
2,2025,12,488182.6,240.782,9.49,818.21,8
3,2024,1,557768.23,508.325,5.01,3276.16,13
3,2024,2,668236.51,620.985,7.44,2878.97,16
3,2024,3,1028175.98,959.774,7.17,4316.67,17
3,2024,4,946418.58,501.841,8.49,1969.54,12
3,2024,5,751909.17,288.522,4.63,2010.84,9
3,2024,6,985299.25,972.264,7.22,4487.67,19
3,2024,7,741127.71,271.328,6.18,1416.89,6
3,2024,8,870190.14,926.371,8.72,3428.52,16
3,2024,9,728229.02,363.726,8.77,1382.05,13
3,2024,10,686385.17,475.281,4.16,3686.62,15
3,2024,11,477876.73,102.21,3.39,1005.68,12
3,2024,12,451253.94,269.224,7.77,1118.44,6
3,2025,1,929493.16,1385.012,8.96,4987.52,21
3,2025,2,754928.69,318.157,7.0,1623.57,13
3,2025,3,558562.41,100.263,3.71,871.38,5
3,2025,4,560381.0,300.437,3.69,2711.19,11
3,2025,5,665395.87,529.348,8.46,2019.28,9
3,2025,6,712284.88,443.356,6.75,2188.61,21
3,2025,7,777415.22,657.576,7.48,2837.01,19
3,2025,8,638049.13,365.502,5.92,1992.21,12
3,2025,9,563559.5,306.513,5.66,1806.34,13
3,2025,10,782647.66,805.131,9.41,2758.74,11
3,2025,11,836298.8,634.107,7.57,2792.89,12
3,2025,12,740284.08,422.256,5.02,2714.95,14
4,2024,1,517768.77,305.334,7.3,1349.12,13
4,2024,2,554383.59,501.076,9.55,1808.97,19
4,2024,3,543189.73,343.791,8.48,1308.04,7
4,2024,4,605492.86,483.656,7.13,2260.96,18
4,2024,5,535836.93,248.717,6.26,1281.26,7
4,2024,6,673171.17,605.984,6.45,3134.1,14
4,2024,7,576439.23,215.158,3.61,1920.49,19
4,2024,8,557025.36,366.493,7.7,1535.64,7
4,2024,9,537371.28,385.657,5.55,2316.53,18
4,2024,10,601085.14,536.669,9.55,1812.22,17
4,2024,11,600962.22,360.177,9.55,1256.77,7
4,2024,12,822994.9,771.328,9.91,2511.66,17
4,2025,1,880400.36,646.828,7.46,2797.15,12
4,2025,2,598592.9,123.091,3.09,1424.48,7
4,2025,3,598184.23,368.603,6.1,1950.46,12
4,2025,4,550593.51,249.808,3.77,2206.33,10
